content,score,sentimen,content_clean
tidak bisa co dengan voucher potongan pengguna baruu payah,2,negatif,co voucher potongan pengguna baruu payah
good,5,positif,good
Pesan obat berulang kali tapi di cancel terus kalau tak ada stok nya mending suruh usah jualan habisin waktu orang saja apalagi obat nya itu harus diminum berlanjut,1,negatif,pesan obat berulang kali cancel stok nya mending suruh jualan habisin orang obat nya diminum berlanjut
"app udah bagus dan banyak promo,tapi tolong tambahin vitur ini. kan kalau kita chat ke penjual bisa pakai gambar ya, tolonh kalai kita seumpama salah kirim gambar tolonh ada but (hapus untuk semua) tolonh banget pliss",5,positif,app udah bagus promotapi tolong tambahin vitur chat penjual pakai gambar ya tolonh kalai seumpama salah kirim gambar tolonh but hapus tolonh banget pliss
josss,5,positif,josss
oke,5,positif,oke
GABISA CHEK OUT GAJELAS BGT,1,negatif,gabisa chek out gajelas bgt
nice,4,positif,nice
mantap,5,positif,mantap
"Aplikasi sudah di update versi terbaru, saat di daftarin KYC susah banget proses nya keluar lagi keluar lagi. tolong jangan di persulit proses pendaftaran KYC nya. di tingkatkan lagi dong system online nya.",1,negatif,aplikasi update versi terbaru daftarin kyc susah banget proses nya tolong persulit proses pendaftaran kyc nya tingkatkan system online nya
pelayanab sangat baik n amanh smoga kedepan smakin baik.,5,positif,pelayanab n amanh smoga kedepan smakin
aplikasi ini sangat membantu .dan memuaskan,5,positif,aplikasi membantu memuaskan
"entah salah kurirnya atau gimana, no telp sudah tertera setidaknya di hubungi, malah acuh tak acuh dan tidak ada laporan barang, pada akhirnya karena tidak d antar ke alamat saya ada laporan barang di kembalikan ke penjual, entalah",1,negatif,salah kurirnya gimana no telp tertera hubungi acuh acuh laporan barang d alamat laporan barang kembalikan penjual entalah
promo hoax ngabisa pakai kupon,1,negatif,promo hoax ngabisa pakai kupon
"saya kasih bintang 5, apk paling the beast",5,positif,kasih bintang apk the beast
Gercep..,5,positif,gercep
Tokopedia sangat membantu dalam bekerjasama yang baik. jadi terima kasih atas kerjasama yang baik ini. sukses selalu jaya selamanya. amin.,5,positif,tokopedia membantu bekerjasama terima kasih kerjasama sukses jaya amin
Penarikan dana sulit dan byk persyaratan,3,netral,penarikan dana sulit byk persyaratan
lumayan ada perbaikan dari sisi langganan PLUS...berharap lebih banyak lagi dari hal² lain,3,netral,lumayan perbaikan sisi langganan plusberharap hal²
penipu,1,negatif,penipu
PINPOINT AJA SALAH MULU PADAHAL ALAMAT UDAH BENER APP TOLOL,1,negatif,pinpoint aja salah mulu alamat udah bener app tolol
promo gede,4,positif,promo gede
"komisinya terlalu besar udh kayak di kejar pajak pemerintah, jual barang 3jt potongan 800rb hadeh",1,negatif,komisinya udh kayak kejar pajak pemerintah jual barang jt potongan rb hadeh
bgus,3,netral,bgus
ok baguss,5,positif,ok baguss
penanganan sistem sangat buruk gak recomended mending toko oyen,1,negatif,penanganan sistem buruk gak recomended mending toko oyen
baguss polll,5,positif,baguss polll
"tarik saldo pengembalian wajib urus ktp , padahal ktp cuma buram dikit ,lah ribet",1,negatif,tarik saldo pengembalian wajib urus ktp ktp buram dikit ribet
bosok,1,negatif,bosok
kupon gabisa dipake sampe hangus😭😭,1,negatif,kupon gabisa dipake sampe hangus
"kok aku gabisa CO barang sama sekali ya 😭. sumpah, udah chat customer service pun ga nolong apa apa. katanya sih akun aku ada aktivitas di luar syarat & ketentuan, TAPI AKU GA PERNAH NGAPA NGAPAIN 😭 literally baru ini banget download, login, dan pengen CO barang pertama aku di Tokopedia. sumpah, udah cape-cape nyari yang di dalam pulau Kalimantan soalnya ongkir nya kalo beda pulau ga ngotak, nyari yang cod juga, TERNYATA UJUNG² NYA GABISA CO 😔💔 tolong ini kenapa ya.. CS bisa lebih membantu?",1,negatif,gabisa co barang ya sumpah udah chat customer service ga nolong sih akun aktivitas syarat ketentuan ga ngapa ngapain literally banget download login pengen co barang tokopedia sumpah udah capecape nyari pulau kalimantan ongkir nya kalo beda pulau ga ngotak nyari cod ujung² nya gabisa co tolong ya cs membantu
"Kebanyakan Biaya Lain""..... toko nya ga fast respon, mudah sekali pembatalan oleh toko. chat toko yang bls AI, tokonya kemana yah....",1,negatif,kebanyakan biaya toko nya ga fast respon mudah pembatalan toko chat toko bls ai tokonya kemana yah
ok,5,positif,ok
"kesel banget pas klaim voucher pengguna baru eror gabisa transaksi, kukira ada masalah Ama sinyal internet aku coba beli barang lain tanpa promo bisa udah kutunggu tiga jam kucoba pencet ga bisa diclaim voucher nya jadi sangat buruk apakah sebenarnya ada limit voucher ?padahal masih ada waktu untuk klaim ,tapi tetep ga bisa apakah setiap hari ada batasan untuk klaim voucher nya ,dan kesempatan orang lain hangus?",1,negatif,kesel banget pas klaim voucher pengguna eror gabisa transaksi kukira ama sinyal internet coba beli barang promo udah kutunggu jam kucoba pencet ga diclaim voucher nya buruk limit voucher klaim tetep ga batasan klaim voucher nya kesempatan orang hangus
lebih mudah pake tik tok paylater,5,positif,mudah pake tik tok paylater
bagus,5,positif,bagus
mau narik saldo jadi susah padahal lagi penting banget,1,negatif,narik saldo susah banget
"mau melakukan tarik uang susah dan juga nggak bisa ganti nomor dan yang nomor yang hp nya akunnya di hapus permanen nomor nya nggak bisa dipakai, saya memohon pihak tokopedia jangan mempersulit konsumen terima kasih",1,negatif,tarik uang susah nggak ganti nomor nomor hp nya akunnya hapus permanen nomor nya nggak dipakai memohon tokopedia mempersulit konsumen terima kasih
"update gak guna cuma menuhin memori doang,orang mau belanja juga harus update mulu susah bikin ribet aja",1,negatif,update gak menuhin memori doangorang belanja update mulu susah bikin ribet aja
Anj Padahal pengguna baru ada diskon 60%tanpa minimum belanja tapi pas mau cekout malah maaf tidak bisa menggunakan promo to.. ol,1,negatif,anj pengguna diskon minimum belanja pas cekout maaf promo to ol
sangat bagus dan mantap promo nya,5,positif,bagus mantap promo nya
buruk sekali lah,1,negatif,buruk
bgs bgt belanja disisni banyak promo untuk belanja toko nya juga bagus,5,positif,bgs bgt belanja disisni promo belanja toko nya bagus
ok,5,positif,ok
ok bagus,5,positif,ok bagus
mantap.,5,positif,mantap
"tidak ada yang salah dari tokopedia, cuma masalah pengiriman apalagi pilih kargo lama banget, jauh sama yg sebelah SHOPEE pake kargo cepet bgt",1,negatif,salah tokopedia pengiriman pilih kargo banget yg sebelah shopee pake kargo cepet bgt
"banyak toko abal2, setelah order dan payment barang tidak di kirim, pengembalian dana lama dan agak ribet",1,negatif,toko abal order payment barang kirim pengembalian dana ribet
top martang top👍👍👍👍,4,positif,top martang top
aneh,1,negatif,aneh
sangat membantu dalam pembelian produk,5,positif,membantu pembelian produk
agak lemot tapi oke,5,positif,lemot oke
lancar bagus,5,positif,lancar bagus
best online shoping app,5,positif,best online shoping app
banyak diskon terimakasih,5,positif,diskon terimakasih
saya mau tarik dana saya udh ikuti semua cara pake verifikasi KYC tapi sampai sekarang udh 3 hari ga bs ketarik,1,negatif,tarik dana udh ikuti pake verifikasi kyc udh ga bs ketarik
mantappppppp,5,positif,mantappppppp
Mantap lancar transaksinya,5,positif,mantap lancar transaksinya
"SUMPAH PADA INSTALL SEKARANG GAISSS, JUJUR AKU DAPET BANYAK PROMOOOO BAIK BANGET TOKPED PLISSS LOVE 💜💜💜💜💜",5,positif,sumpah install gaisss jujur dapet promoooo banget tokped plisss love
"cepat,Mudah",5,positif,cepatmudah
"sejak gandeng sama TIKTOK, ini aplikasi makin gajelas kalo mau jual barang, ribet kek TIKTOK",1,negatif,gandeng tiktok aplikasi gajelas kalo jual barang ribet kek tiktok
ok,5,positif,ok
susah amat log in nya gak kayak si oren,1,negatif,susah log in nya gak kayak si oren
"toped memaksa pembeli harus pakai asuransi,ceklist asuransi sudah dibuat permanen , saat komplain asuransi ga bisa dipakai aneh toped",1,negatif,toped memaksa pembeli pakai asuransiceklist asuransi permanen komplain asuransi ga dipakai aneh toped
"cara pakai aplikasi ini gimana si, setiap mau checkout pasti terjadi kendala terjadi kendala, sinyal 5G wifi 5G, tetap terjadi kendala, sampah",1,negatif,pakai aplikasi gimana si checkout kendala kendala sinyal g wifi g kendala sampah
"pokok ya jangan download aplikasi tokped, aplikasi sampah, banyak bohong ya harga ngga ngotak,",1,negatif,pokok ya download aplikasi tokped aplikasi sampah bohong ya harga ngga ngotak
"sangat membantu Tokopedia, tapi kenapaa sekarang mau narik saldo ribet bgt , setiap masukin pin baru eror terus nga bisa bisa jadinya mau ambil uang sendiri",4,positif,membantu tokopedia kenapaa narik saldo ribet bgt masukin pin eror nga ambil uang
Baru pertama kali pakai toped,4,positif,kali pakai toped
proses transaksi cepat sekali,5,positif,proses transaksi cepat
mantep,5,positif,mantep
maknyos,5,positif,maknyos
"sama mau narik duit dari pembatalan barang harus umur 18th sih, RIBET.",2,negatif,narik duit pembatalan barang umur th sih ribet
"costumer service nya lelet lelet, tidak memberikan jawaban yang dibutuhkan, jawabannya selalu ""mohon ditunggu kak tim akan melakukan pengecekan"" udah 2 hari ini belum ada kepastian",1,negatif,costumer service nya lelet lelet dibutuhkan jawabannya mohon ditunggu kak tim pengecekan udah kepastian
Ga ada gratis ongkirnya,1,negatif,ga gratis ongkirnya
okee,5,positif,okee
"pls tambahin fitur buat cari sesuatu lewat kamera biar lebih mudah terus buat bisa live, kalo engga ada rasanya aneh. tambahin juga buat yang kalo ada diskon² pindah ke depan produknya biar keliatan mana yang diskon mana yang engga meskipun itu cuma sekedar soklin² atau sabun. banyakin diskon² lagi biar sering belanja disini🫰",5,positif,pls tambahin fitur cari kamera biar mudah live kalo engga aneh tambahin kalo diskon² pindah produknya biar keliatan diskon engga sekedar soklin² sabun banyakin diskon² biar belanja
saya suka belanja menggunakan Tokopedia,5,positif,suka belanja tokopedia
"Verifikasi ktp susah amat sih, ktp segitu jelasnya masih gak kebaca. saldo tokped jadi gak bisa ditarik",3,netral,verifikasi ktp susah sih ktp segitu gak kebaca saldo tokped gak ditarik
pelayanan cepat dan memuaskan,5,positif,pelayanan cepat memuaskan
Barang disini mahal2 lebih murah d oren,1,negatif,barang mahal murah d oren
harga mahal kali murahin lgi dong kayak di shopee biar banyak pelanggan,1,negatif,harga mahal kali murahin lgi kayak shopee biar pelanggan
mantap,5,positif,mantap
"Walah kenapa ini Aplikasi jadi kyak gini sekarang 1. Aplikasi Sering error. 2. keranjang sering Hilang, akhirnya cari ulang kembali. 3. Dulu mu narik saldo gampang, tinggal ketik password selesai sekarang Dana yang di kembalikan dari transaksi yang gagal mau narik saldo aja susah, harus ada verifikasi pakai KTP lah foto muka lah...kyak mau pinjam uang saja, padahal itu uang kita & itu data Pribadi...Ribet Ribet... KLO begini, percaya deh Tokped akan di tinggalkan 🤬",1,negatif,walah aplikasi kyak gini aplikasi error keranjang hilang cari ulang mu narik saldo gampang tinggal ketik password selesai dana kembalikan transaksi gagal narik saldo aja susah verifikasi pakai ktp foto muka lahkyak pinjam uang uang data pribadiribet ribet klo percaya deh tokped tinggalkan
Aplikasi online shop yang bagus Hampir semua transaksi produknya bagus Respon dan pengiriman cepat Pengembalian dana sangat mudah dan cepat,5,positif,aplikasi online shop bagus transaksi produknya bagus respon pengiriman cepat pengembalian dana mudah cepat
"bagus ,cuma tolong untuk pengirimannya suka telat, coba kasih tau lagi ke ekspedisinya untuk lebih fast respon, soalnya saya udah 3x telat mulu, melebihi estimasi, kalian juga kan kerja dibayar dari kita sebagai konsumen",2,negatif,bagus tolong pengirimannya suka telat coba kasih tau ekspedisinya fast respon udah x telat mulu melebihi estimasi kerja dibayar konsumen
baru download mau beli barang pake voucher GK bisa.,1,negatif,download beli barang pake voucher gk
suka kesel kalau ada notif promo tapi gabisa dipake 🤬,3,netral,suka kesel notif promo gabisa dipake
amazing,5,positif,amazing
mantap,5,positif,mantap
Mau refund saldo tokped tp susah bgt. Verifikasi gagal terus padahal foto udah jelas.,1,negatif,refund saldo tokped tp susah bgt verifikasi gagal foto udah
Setelah Metode Cod diBisa Digunakan Sekarang Ada Lagi Metode Batal kan Pemesanan Tidak Bisa dan Saya Sudah Batal kan Pesanan Saya Tiba-tiba Sampai ke Sidoarjo Jawa Timur Itu Hampir Dekat keWilayah Saya Surabaya Takutnya Dikirim Paketnya Karena Saya Salah Pilih Produk Pemesan Jadi Memutuskan Batal kan tapi Hampir Sampai Tujuan Ketempat Saya Mohon Bantulah Para Konsumen Kakak Sekian Terimakasih,3,netral,metode cod dibisa metode batal pemesanan batal pesanan tibatiba sidoarjo jawa timur kewilayah surabaya takutnya dikirim paketnya salah pilih produk pemesan memutuskan batal tujuan ketempat mohon bantulah konsumen kakak sekian terimakasih
mantap,5,positif,mantap
pada saat saya mau ceck out atau beli pas mau bayar cod. selalu ada kendala atau terjadinya sistem error. kenapa ada apa Tokopedia please 😔 saya mau beli barang.,2,negatif,ceck out beli pas bayar cod kendala sistem error tokopedia please beli barang
sangat membantu,5,positif,membantu
Promonya ga bisa dipakai,1,negatif,promonya ga dipakai
semoga ada pinjaman online kaya shope kedepanya,5,positif,semoga pinjaman online kaya shope kedepanya
buka toko di tokped tiktok tidak rekomendasi. pengembalian banyak yg tidak sesuai di banding selalu di tolak. tidak ada keadilan untuk saller,1,negatif,buka toko tokped tiktok rekomendasi pengembalian yg sesuai banding tolak keadilan saller
aplikasi sangat berat bikin hp sangat lemot dan ga ada bantuan untuk tindak tegas penjual yang curang,1,negatif,aplikasi berat bikin hp lemot ga bantuan tindak penjual curang
"Aku udah cukup sering belanja di Tokopedia dan sejauh ini selalu puas. Aplikasinya mudah dipakai, tampilannya rapi, fiturnya lengkap, dan navigasinya juga gampang dipahami. Proses checkout cepat, pilihan pembayarannya banyak, informasi produk, toko, dan status pesanan juga jelas. Yang paling aku suka ada invoice, riwayat transaksi, dan detail pesanan yang lengkap, jadi gampang buat dicek lagi kapan aja. Menurutku, Tokopedia nyaman dipakai dan recommended banget buat belanja online. 🤩🫶🔥❤",5,positif,udah belanja tokopedia puas aplikasinya mudah dipakai tampilannya rapi fiturnya lengkap navigasinya gampang dipahami proses checkout cepat pilihan pembayarannya informasi produk toko status pesanan suka invoice riwayat transaksi detail pesanan lengkap gampang dicek aja menurutku tokopedia nyaman dipakai recommended banget belanja online
diskon banyak banget cinta tokopedia i loveeeeeee tokopedia💜,5,positif,diskon banget cinta tokopedia i loveeeeeee tokopedia
aplikasinya mantap saya suka,5,positif,aplikasinya mantap suka
semoga murah terus semakin terpercaya berkah untuk semua aamiin,5,positif,semoga murah terpercaya berkah aamiin
"semua paket di return tanpa ada notice, semua kurir tidak ada yg profesional.",1,negatif,paket return notice kurir yg profesional
leletnya ini aplikasi aneh,1,negatif,leletnya aplikasi aneh
vocer ga bisa di pake padahal masih aktip vocer nya,2,negatif,vocer ga pake aktip vocer nya
app banyak eror nya tolong perbaiki lagi,1,negatif,app eror nya tolong perbaiki
notifnya kayak qontoI 🥰🥰,1,negatif,notifnya kayak qontoi
Bagus,5,positif,bagus
jos,5,positif,jos
"Usulan buat pihak toko pedia , .🙏",1,negatif,usulan toko pedia
semoga sesuai foto,5,positif,semoga sesuai foto
"gabis klaim voucher sama sekali heran, setiap di klik gagal mulu",3,netral,gabis klaim voucher heran klik gagal mulu
sangat memuaskan,5,positif,memuaskan
terbaik banyak diskon yang persen nya itu ga keitung dikit tapi kaya ngasi harga barang bekas buset and pesanan sesuai estimasi kurir nya ramah suka ngelawak dikit terbaik pokoknya kalau besok besok diskon nya 99% aja jangan ragu ragu kalo ngasih haha😭🔥,5,positif,terbaik diskon persen nya ga keitung dikit kaya ngasi harga barang bekas buset and pesanan sesuai estimasi kurir nya ramah suka ngelawak dikit terbaik pokoknya besok besok diskon nya aja ragu ragu kalo ngasih haha
"aplikasi marketplace terburuk, diskon banyak tapi saat di co error",1,negatif,aplikasi marketplace terburuk diskon co error
"mohon maaf,ko voucher nya tidak bisa di pakai yah? voucher penggunaan baru🙏tolong di bantu",5,positif,mohon maafko voucher nya pakai yah voucher penggunaan barutolong bantu
setiap x menghubungkan aku ke tiktok ndk pernah berjalan,1,negatif,x menghubungkan tiktok ndk berjalan
untuk apa di sediakan diskon pengguna baru kalau tidak bisa di pakai,1,negatif,sediakan diskon pengguna pakai
oke,5,positif,oke
good,3,netral,good
padahal pengguna baru tapi promo gak bisa di pakai apk gakjelas bug kaga seperti shope/lazada,1,negatif,pengguna promo gak pakai apk gakjelas bug kaga shopelazada
"VOUCHER GABISA DIPAKE, JADI NIAT NGASIH VOUCHER ATAU GAK?????, GAJELAS POLL",1,negatif,voucher gabisa dipake niat ngasih voucher gak gajelas poll
memuaskan,5,positif,memuaskan
oke bNget,5,positif,oke bnget
"Hati-hati deh kalian, aku kemarin chekout udah bayar pake QRIS udah lunas tapi pesanannya gak muncul jadi hangus lah itu duit, dimintain refund juga disuruh nunggu sampek kapan juga gatau kayanya emang ga niat dibalikin",1,negatif,hatihati deh kemarin chekout udah bayar pake qris udah lunas pesanannya gak muncul hangus duit dimintain refund disuruh nunggu sampek gatau kayanya emang ga niat dibalikin
good pisan,5,positif,good pisan
"sumpah capek banget sama pinpoint tokopedia ini, saya sudah mengisi pinpoint sesuai almat sebelum checkout pesanan. tapi pas dikirim selalu salah pinpoint nya. jadi nya saya yang repot dan harus cht jnt atau kurir.",3,netral,sumpah capek banget pinpoint tokopedia mengisi pinpoint sesuai almat checkout pesanan pas dikirim salah pinpoint nya nya repot cht jnt kurir
bagus,5,positif,bagus
diskon terus kalo bisa handphone pun diskon Tokopedia the best,5,positif,diskon kalo handphone diskon tokopedia the best
banyak toko langganan yg d banned ga jelas... makin aneh,1,negatif,toko langganan yg d banned ga aneh
mantap,5,positif,mantap
"aplikasi lama lama semakin berat sering ngelag, diskon promo pun sudah jarang ada dan harga² barang nya melonjak naik hahaa kek bbm aja, ada apa di tubuh tokopedia? phk ? besar²an sebesar diskon promo toko sebelah yaaaa okelah uninstal aja bye...",1,negatif,aplikasi berat ngelag diskon promo jarang harga² barang nya melonjak hahaa kek bbm aja tubuh tokopedia phk besar²an diskon promo toko sebelah yaaaa okelah uninstal aja bye
marketplace dengan pengiriman instan terburuk. paket sering tidak di ambil driver di biarkan saja sampai 2 - 3 hari,1,negatif,marketplace pengiriman instan terburuk paket ambil driver biarkan
ga bisa login ga muncul nomor 6 digit 😔,2,negatif,ga login ga muncul nomor digit
tolong dong admin Tokopedia ini kenapa sih gw mau ceckout gak bisa bayar malah terjadi kesalahan gw padahal mau beli barang maah error gini padahal baru juga download ini apk buat ceckout gak bisa cepetan di fix ini bug keganggu bgt asli mau co malah terjadi kesalahan,1,negatif,tolong admin tokopedia sih gw ceckout gak bayar kesalahan gw beli barang maah error gini download apk ceckout gak cepetan fix bug keganggu bgt asli co kesalahan
mantafff sekali,5,positif,mantafff
ok bosku,5,positif,ok bosku
ga sesuai promo yang ada!!!,1,negatif,ga sesuai promo
sangat puas dengan pelayanan di Tokopedia,5,positif,puas pelayanan tokopedia
Mantap,4,positif,mantap
bagus banyak promo,5,positif,bagus promo
Transaksi di batalkan penjual tapi SALDO REFUND di tahan Oleh tokopedia TIDAK BISA DI CAIRKAN.. WASAPADALAH BELANJA DI TOKOPEDIA,1,negatif,transaksi batalkan penjual saldo refund tahan tokopedia cairkan wasapadalah belanja tokopedia
Diskonnya hoax,1,negatif,diskonnya hoax
"Nah sekarang makin busuk lagi kita beli barang,, sudah bayar kita batalkan, na kita tarik kembali uang kita di per sulit.. Padahal sebelumnya pakai pin sudah bisa sekarang ada persyaratan lagi makin rumit kita ikuti persyaratan nya juga rumat gak berhasil terus",1,negatif,busuk beli barang bayar batalkan na tarik uang sulit pakai pin persyaratan rumit ikuti persyaratan nya rumat gak berhasil
mantab sukses,5,positif,mantab sukses
mantap,5,positif,mantap
"lama bgt pengirimannnya, ga like",2,negatif,bgt pengirimannnya ga like
terima kasih Tokopedia mantap,5,positif,terima kasih tokopedia mantap
mau belanja takut tidak dikirim..malah kepotong dan tertahan uangnya menunggu kepastian. yang jelas dong,2,negatif,belanja takut dikirimmalah kepotong tertahan uangnya menunggu kepastian
oke respect,5,positif,oke respect
enak,5,positif,enak
goodlah,5,positif,goodlah
sangat buruk toko banyak yang tidak mengirim barang atau tutup dan sistem tokopedia betul betul jelek sekali,1,negatif,buruk toko mengirim barang tutup sistem tokopedia jelek
"saldo refund tidak bisa di tarik, padahal aplikasinya sudah terupdate, dan memang butuh banget buat bayar pendidikan tapi malah di persulit sama tokopedia, mengecewakan",1,negatif,saldo refund tarik aplikasinya terupdate butuh banget bayar pendidikan persulit tokopedia mengecewakan
Good. Adain lagi promo diskon pulsa paket data,4,positif,good adain promo diskon pulsa paket data
memuaskan,5,positif,memuaskan
Silahkan yg mau belanja tapi Hati Hati Sama Toko ini suka Menyebarkan Data pribadi. jgn sesekali masukan data pribadi Di Aplikasi ini.,1,negatif,silahkan yg belanja hati hati toko suka menyebarkan data pribadi jgn masukan data pribadi aplikasi
top,5,positif,top
"Kebijakan ny kurang tepat, sy hapus akun lalu sy buat akun baru. Pas no hp yg diakun lama di pindah ke akun baru ga bisa kata ny kebijakan mmg tdk bisa pke no ganda sdgkn akun lama sj sdh dihapus.",2,negatif,kebijakan ny sy hapus akun sy akun pas no hp yg diakun pindah akun ga ny kebijakan mmg tdk pke no ganda sdgkn akun sj sdh dihapus
mantap,5,positif,mantap
"sekarang berat sekali ya aplikasi tokopedia, untuk searching barang aja kadang bisa kadang tidak, jadi ribet sekarang. harga juga sekarang membingungkan. Tokopedia gak ada perubahan sekarang gak nyaman belanja disini. cs kurang aktif dkomunikasi dengan ekspedisi, barang dinyatakan hilang masih aja mundur terus waktu tibanya....payaaahhh",1,negatif,berat ya aplikasi tokopedia searching barang aja kadang kadang ribet harga membingungkan tokopedia gak perubahan gak nyaman belanja cs aktif dkomunikasi ekspedisi barang dinyatakan hilang aja mundur tibanyapayaaahhh
bulan Juli 2026 Pengguna Plus sudah tidak ada gratis ongkir lagi,2,negatif,juli pengguna plus gratis ongkir
"harga tidak sesuai dengan promo, ongkir mahal pula, auto dell apk.. mnding aplikasi orange sebelah..",1,negatif,harga sesuai promo ongkir mahal auto dell apk mnding aplikasi orange sebelah
aplikasi nya bagus untuk cod tokopedia jangan gunakan kurir jnt pesan saya ngk pernah sampai² malah diretur tiap ada pesan,5,positif,aplikasi nya bagus cod tokopedia kurir jnt pesan ngk sampai² diretur pesan
sipp ada diskonnya juga,5,positif,sipp diskonnya
"aku kecewa sama seller nya, aku liat ranting bagus tapi pesananku gak dikirim ² sampek 3 hari, sayang sekali padahal aku dapat voucher belanja 50%",4,positif,kecewa seller nya liat ranting bagus pesananku gak dikirim ² sampek sayang voucher belanja
lama banget masalah refund uangnya,3,netral,banget refund uangnya
keganteng kok ga ada,5,positif,keganteng ga
"mantaapppp lah, klu bisa Tolong barang yg di kirim WAJIB SESUI donk... agar lebih di percaya CS",5,positif,mantaapppp klu tolong barang yg kirim wajib sesui donk percaya cs
Nice Nice,5,positif,nice nice
"saya mau ngambil saldo Tokopedia, lama sekali verifikasi datanya, ,jangan persulit orang coy",1,negatif,ngambil saldo tokopedia verifikasi datanya persulit orang coy
"sangat bagus dan murah saya banyak dapat promo, tas yg mahal cuma 5 ribu saya sangat senang dengan aplikasi ini 🥳❤️",5,positif,bagus murah promo tas yg mahal ribu senang aplikasi
gaikhlas banget beri voucher potongannya anjjj.pas dicekout ada opsi kendala🐒🐶🐖,1,negatif,gaikhlas banget voucher potongannya anjjjpas dicekout opsi kendala
udh dpt diskon yg tadinya 59ribu jadi 19ribu he pas mau beli malah harganya sama aja mana GK gratis ongkir pula padahal ada vocher diskon dan voucher gratis ongkir,2,negatif,udh dpt diskon yg ribu ribu he pas beli harganya aja gk gratis ongkir vocher diskon voucher gratis ongkir
aku tidak tahu berbelanja,3,netral,berbelanja
"kocak app aneh gw mau beli barang masa ga bisa katanya kenadala di promo ""promo tidak berlaku kamu bisa coba tanpa promo"" padahal jelas banget tertulis promonya bisa di pakai sampe 15 jam kedepan tapi kocaknya gabisa di pake",1,negatif,kocak app aneh gw beli barang ga kenadala promo promo berlaku coba promo banget tertulis promonya pakai sampe jam kedepan kocaknya gabisa pake
udah seneng dapet voucer pengguna baru malah gak bisa di pakek,1,negatif,udah seneng dapet voucer pengguna gak pakek
banyak diskonn,4,positif,diskonn
mantaff,5,positif,mantaff
Tokopedia 👍 terima kasih.,5,positif,tokopedia terima kasih
memudahkan Transaksi Dan mempercepat segala urusan trimm,5,positif,memudahkan transaksi mempercepat urusan trimm
"pantesan sepi lebih kikir voucher, mending pindah sebelah voucher nya lebih besar",1,negatif,pantesan sepi kikir voucher mending pindah sebelah voucher nya
apk gak jelas voucher penguna baru gak bisa di gunakan giliran co gak pakai voucher bisa aneh,1,negatif,apk gak voucher penguna gak giliran co gak pakai voucher aneh
sayang cepat . respon bagus bisa di percaya,5,positif,sayang cepat respon bagus percaya
"It's not like it used to be. The app takes a big cut, and there are too many rules for sellers... eventually, the sellers will leave.",1,negatif,its not like it used to be the app takes a big cut and there are too many rules for sellers eventually the sellers will leave
ok,5,positif,ok
lagi ada bug nih. error terus aplikasinya.,5,positif,bug nih error aplikasinya
sangat mudah,4,positif,mudah
mantap,5,positif,mantap
cukup bagus,4,positif,bagus
mantap bagi bagi hadiah,5,positif,mantap hadiah
TERBAIK...!!!!,5,positif,terbaik
mudah menggudakan aplikasi ini,5,positif,mudah menggudakan aplikasi
semoga produk indo makin terdepan,5,positif,semoga produk indo terdepan
"benerin dulu tuh transaksi gagal COD, promo. mau beli udah keburu ilang flash salenya krn error doang",1,negatif,benerin tuh transaksi gagal cod promo beli udah keburu ilang flash salenya krn error doang
mantap,4,positif,mantap
App Indonesia online shop ter the best,5,positif,app indonesia online shop ter the best
ganiat kasih kupon diskon kocak,1,negatif,ganiat kasih kupon diskon kocak
sanggar rekomendasi transaksi di Tokopedia ini mudah cepat dan aman,5,positif,sanggar rekomendasi transaksi tokopedia mudah cepat aman
"maaf toped, akhir-akhir ini orderan sering sya batalkan. karena penjual nggak segera kirim barang, nungguin sistem kelamaan. udah gitu penjualnya kalo dichat kebanyakan nggak respon 😠",4,positif,maaf toped akhirakhir orderan sya batalkan penjual nggak kirim barang nungguin sistem udah gitu penjualnya kalo dichat kebanyakan nggak respon
"sumpahhh jelek bangett pengguna baru tapi voucher gabisa dipake, gaa niatt ngasih voucher kecewaaa bangettt!!!!!!!!!!!!!!!!",1,negatif,sumpahhh jelek bangett pengguna voucher gabisa dipake gaa niatt ngasih voucher kecewaaa bangettt
bagus aku dapat promo pengguna baru cuma ongkir nya lumayan,5,positif,bagus promo pengguna ongkir nya lumayan
bagus,5,positif,bagus
verfikasi tdk ada ujungnya.tarik saldo tdk bisa dilakukan.ada yg mengalami hal yg sama ?,1,negatif,verfikasi tdk ujungnyatarik saldo tdk dilakukanada yg mengalami yg
produk sale murah dapat diskon pula dari program plus...tapi pas dicheckout gak bisa...produk sale tidak tersedia... takut rugi ya... padahal ditoktok pas sale emang selisih 100rb tapi bisa di co..akibat program plus diskon tokped keliatan curang...produk sale tidak bisa dibeli,2,negatif,produk sale murah diskon program plustapi pas dicheckout gak bisaproduk sale tersedia takut rugi ya ditoktok pas sale emang selisih rb coakibat program plus diskon tokped keliatan curangproduk sale dibeli
apk ini ga deh mending oren ini beli itu di itung berat nya terus fitur cod nya juga gitu deh kaya ribet bagus tapi dapat harga 100rp kaya beli ongkir jir percuma kaya apa apa itung berat nya terus apk ini gratis ongkir nya kaya gitu lahh mangakaknya jarang yg pake ni apk ribet bgt sumpaa mendiing orenn sii ini gaadeh,1,negatif,apk ga deh mending oren beli itung berat nya fitur cod nya gitu deh kaya ribet bagus harga rp kaya beli ongkir jir kaya itung berat nya apk gratis ongkir nya kaya gitu lahh mangakaknya jarang yg pake ni apk ribet bgt sumpaa mendiing orenn sii gaadeh
